   RS iter        Gamma        Alpha  PRESS lasso   PRESS Tikh    T elapsed 
       175       0.0003       0.6919       0.2724       0.2726       0.4375
       176       0.0000       0.1754       0.2724       0.2724       0.4167
       177       0.0000       0.4864       0.2724       0.2724       0.4287
       178       0.0003       0.7659       0.2724       0.2725       0.4127
       179       0.0055       0.5313       0.2724       0.3380       0.4194
       180       0.0216       0.1531       0.2724       1.2548       0.4145
       181       0.0001       0.8321       0.2724       0.2724       0.4269
       182       0.0002       0.1832       0.2724       0.2725       0.4157
       183       0.0239       0.5326       0.2724       1.4614       0.4202
       184       0.7655       0.1463       0.2734     351.1553       0.4173
       185       0.0000       0.7171       0.2724       0.2724       0.4154
       186       0.0003       0.7754       0.2724       0.2726       0.4541
       187       0.0449       0.3306       0.2724       4.2776       0.4219
       188       0.0027       0.1996       0.2724       0.2886       0.4206
       189       0.0095       0.6224       0.2724       0.4662       0.4206
       190       0.0828       0.0123       0.2724      12.8061       0.4206
       191       0.0023       0.0940       0.2724       0.2836       0.4255
       192       0.0134       0.7720       0.2724       0.6552       0.4657
       193       0.2232       0.3840       0.2725      68.6423       0.4939
       194       0.0001       0.8970       0.2724       0.2724       0.4136
       195       0.0051       0.7388       0.2724       0.3289       0.4179
       196       2.1205       0.5851       0.2801     788.4721       0.4176
       197       0.0029       0.4339       0.2724       0.2911       0.4157
       198       0.0005       0.7352       0.2724       0.2729       0.4078
       199       0.1007       0.1370       0.2724      18.0801       0.4094
       200       0.1540       0.3599       0.2724      37.5423       0.4108
